"Kayıt No",Başlık,DOI,Yazar,"Yazar Detayı",Çevirmen,"Çevirmen Detayı","Anahtar Kelimeler","Dergi Adı",ISSN,e-ISSN,Yayımcı,Yıl,Cilt,Sayı,Sayfalar,Öz,Kaynakça,Konular,"Birincil Dil","Yayın Türü","Gönderilme Tarihi","Kabul Tarihi","Destekleyen Kurum","Proje Numarası"
1539662,"Osmanlı Hukukunda Farklı Fıkhî Görüşlerin Tercih Edilmesi: Ölüm Cezası Örneği",10.34247/artukluakademi.1539662,"Suat Erdoğan (Düzce Üniversitesi İlahiyat Fakültesi)","Suat Erdoğan | ORCID: 0000-0002-0051-1244 | Düzce Üniversitesi İlahiyat Fakültesi | Düzce Üniversitesi İlahiyat Fakültesi",,,"Osmanlı Hukuku,Fıkıh Mezhepleri,Suç,Ceza,Fesat,Ölüm Cezası","Artuklu Akademi",2148-3264,2687-427X,"Mardin Artuklu Üniversitesi",2024,11,2,318-337,"Bu çalışmada Hanefî fıkıh ekolü başta olmak üzere diğer fıkıh ekollerinin görüşlerinin Osmanlı ceza hukukuna yansımaları araştırılmaktadır. Hanefî mezhebinde kısasın affedilmesi durumunda herhangi bir cezadan söz edilmemesine karşılık, Şâfiî ve Mâlikîlerde, kamu otoritesine faile ta‘zîr cezası verme yetkisi tanınmaktadır. Osmanlı hukukunda da benzer bir şekilde faile ta‘zîr cezası verildiği arşiv kayıtlarından anlaşılmaktadır. Çalışmada Osmanlı ceza hukukunda ayrı bir anlam kazanan “sa‘y bi’l-fesad” suçlamasıyla çok sayıda farklı suç için “siyaseten katl” cezası verilmesi klasik Hanefî doktrini açısından incelenmektedir. Bu kapsamda öncelikle zındıklık ve Hz. Peygamber’e hakaret suçları hakkındaki uygulamalar kanunnâmeler, fetvâ mecmuaları ve arşiv kayıtları üzerinden araştırılmakta ve söz konusu suçlar için uygulanan cezalar, Hanefî fıkıh ekolü başta olmak üzere diğer fıkıh ekollerinin görüşleri ile karşılaştırılmaktadır. Dönemin sosyal ve siyasî şartlarının etkisiyle, Hanefî mezhebi içerisindeki zayıf görüşlerin tercihi ve sözü edilmese de diğer mezheplerden yapılan iktibaslarla, Osmanlı ceza hukukunda klasik Hanefî doktrinine göre cezaların ağırlaştırıldığı anlaşılmaktadır.",,"İslam Hukuku",tr,"Araştırma Makalesi",2024-08-27,2024-10-26,,
1213196,"Murteza Bedir, Fıkıh Mezhep Sünnet: Hanefi Fıkıh Teorisinde Peygamber’in Otoritesi, (İstanbul: Dem Yayınları, 2017, 2. Baskı, 240 sayfa)",10.33415/daad.1213196,"Serdar Özalp (İSTANBUL ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ, İLAHİYAT PR.)","Serdar Özalp | ORCID: 0000-0002-6466-1583 | İSTANBUL ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ, İLAHİYAT PR. | İSTANBUL ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ, İLAHİYAT PR.",,,"İslam Hukuku,Fıkıh Usûlü,Mezhep,Hanefî Mezhebi,Sünnet","Dinbilimleri Akademik Araştırma Dergisi",,1303-9199,"Yavuz ÜNAL",2023,23,1,433-448,"Hanefî mezhebi özelinde hazırlanan bu eser, klasik dönemdeki fıkıh usûlü algısının yanında, moderniteyle birlikte gelen fıkıh usûlü algısı arasındaki değişimi göstermesi bakımından önemli bir yere sahiptir. Eserde Hanefî mezhebinin teşekkülünden modernitenin etkisi altına girilen 19. yüzyıla kadarki süreçte fıkıh usûlü delillerinden biri olan sünnetin geçirmiş olduğu evreler, fıkıh usûlü eserleri üzerinden ele alınmaktır. Bu değerlendirmemiz, eserin tanıtılmasının yanında, modern dönemde yazılan fıkıh usûlü eserlerine yeri geldiğinde atıflar yaparak eserde ortaya konan tezin daha iyi anlaşılmasına katkı sağlamayı hedeflemektedir.",,"Din, Toplum ve Kültür Araştırmaları ",tr,"Kitap İncelemesi",2022-12-01,2023-03-23,,
621130,"Memlûkler Dönemi Hanefî Fıkıh Düşüncesinin İlk Dönem Osmanlı Fıkıh Çalışma-larına Etkisi",10.18505/cuid.621130,"Bekir Karadağ (MUŞ ALPARSLAN ÜNİVERSİTESİ)","Bekir Karadağ | ORCID: 0000-0003-4317-1478 | MUŞ ALPARSLAN ÜNİVERSİTESİ | MUŞ ALPARSLAN ÜNİVERSİTESİ",,,"Memlûkler Dönemi,Fıkıh,Hadis,Hanefî Mezhebi,Memzûc Usûl,Osmanlılar","Cumhuriyet İlahiyat Dergisi",2528-9861,2528-987X,"Sivas Cumhuriyet Üniversitesi",2019,23,2,813-829,"<p class=""MsoNormal"" style=""text-align:justify;margin:3pt 0cm;text-indent:0cm;""><span lang=""en-gb"" style=""font-size:9pt;font-family:'Gentium Plus';"" xml:lang=""en-gb""><span style=""font-size:14px;"">Bu
makalede Memlûkler dönemi Hanefî fıkıh düşüncesinin ilk dönem Osmanlı fıkıh
çalışmaları üzerindeki etkisi incelenmiştir. 
</span><span style=""font-size:14px;"">Bu dönemde Memlûklerin yönetimi altında bulunan Mısır ve Şam bölgeleri
İslam dünyasının en önemli ilim merkezleri haline geldiği için Memlüklerin ilim
seviyesinin Osmanlılardan bir hayli üstün olduğu anlaşılmaktadır. Bu vesileyle
Osmanlı ilim camiasının öncü isimleri sayılan birçok âlim Mısır ve Şam
bölgelerine yönelmişler ve oradaki ilmi birikimden istifade etmişlerdir. Öyle
ki Osmanlı ilim çevresinin oluşmasında etkin rol oynayan bu âlimler eğitimlerini
Memlûklerin yönetimi altındaki Şam ve Mısır’da tamamlayarak Memlûk eğitim
sisteminden mezun olmuşlar ve Osmanlı ilim anlayışının teşekkül etmesinde
önemli roller üstlenmişlerdir. Bu dönemde Memlûkler ilim camiasında etkin olan
Hanefî fakihler, Osmanlı ilim camiasında önde gelen isimlerin yetişmesine katkı
sunmuş ve bu düşünce onların ilim anlayışları üzerinde etkili olmuşlardır. Bu
bağlamda Osmanlıların ilk dönemindeki fıkıh çalışmalarının, kendine has
özellikleri bulunan Memlûk Hanefîlerinden etkilendiğini söylemek
mümkündür.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Memlûkler dönemi Hanefî
düşüncesinin iki temel özelliği olan hadis merkezli fıkıh düşüncesi ve memzûc
yöntem fıkıh usûlü anlayışı ilk dönem Osmanlı fıkıh eserlerinde hissedilir bir
şekilde görülmektedir. </span></span></p><p></p><p class=""MsoNormal"" style=""margin-bottom:12pt;text-align:justify;text-indent:1cm;line-height:150%;""><span style=""font-size:14px;"">

</span></p><p class=""MsoNormal"" style=""text-align:justify;margin:3pt 0cm;text-indent:0cm;""><b><span style=""font-size:14px;font-family:'Gentium Plus';"">Özet:</span></b><span style=""font-size:14px;font-family:'Gentium Plus';""> </span><span lang=""en-gb"" style=""font-size:9pt;font-family:'Gentium Plus';"" xml:lang=""en-gb""><span style=""font-size:14px;"">Bu makalede Memlûkler dönemi Hanefî fıkıh düşüncesinin ilk dönem Osmanlı
fıkıh çalışmaları üzerindeki etkisi ele alınmaktadır. Osmanlılar, kuruluş ve
yükseliş dönemlerinde henüz ilmi bir gelenek oluşturmamışken, birçok Memlük
şehri İslam dünyasının ilim merkezi olması konusunda Bağdat’ın yerine
geçmişlerdir. Zira Moğol istilası, haçlı seferleri ve Endülüs’ün yıkılmaya yüz
tutması gibi nedenlerle yerlerinden olan birçok âlim Memlüklerin hâkim olduğu
şehirlere göç ederek oraya yerleşmişlerdir. Özellikle bu dönemde Memlûklerin
yönetimi altında bulunan Mısır ve Şam bölgeleri İslam dünyasının en önemli ilim
merkezleri haline gelmiştir. Bu bakımdan 14.-16. yüzyıllarda Memlüklerin ilim
seviyesinin Osmanlılardan bir hayli üstün olduğu kabul edilmektedir.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Bu vesileyle Osmanlı ilim camiasının öncü
isimleri sayılan birçok âlim Mısır ve Şam bölgelerine yönelmişler ve oradaki
ilmi birikimden istifade etmişlerdir. Osman Gazi’nin hocası ve kayınpederi Şeyh
Edebâli, Davud-ı Kayserî,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Şeyh
Bedreddin,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Molla Fenârî, Molla Gürânî bu
alimlerden bazılarıdır. Bunların dışında Muhsin-i Kayserî, Germiyanlı Şair
Ahmedî, Hacı Paşa olarak bilenen Celâleddin Hızır, İbnü’l-Cezerî ve İbn Arabşâh
gibi âlimler de Mısır ve Şam bölgelerinde ilim tahsilinde bulunmuşlardır.
Osmanlı ilim çevresinin oluşmasında etkin rol oynayan bu âlimler eğitimlerini
Memlûklerin yönetimi altındaki Şam ve Mısır’da tamamlayıp Memlûk eğitim
sisteminden mezun olduktan sonra Osmanlı ilim anlayışının teşekkül etmesinde
önemli roller üstlenmişlerdir. Şeyh Edebâlî, Osmanlı’nın ilmî ve manevî
önderlerinden biri kabul edilmiştir.</span><span style=""font-size:14px;""> 
</span><span style=""font-size:14px;"">Davud-ı Kayserî,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">ilk Osmanlı
Medresesi olan İznik medresesinin ilk baş müderrisliği görevini yürütmüştür.
Molla Fenârî,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">ilk Osmanlı şeyhülislamı
olma ayrıcalığına sahip olmuştur. Molla Gürânî, Fatih Sultan Mehmed’in
hocalığını yapmaya nail olmuştur. Bu dönemde Memlûkler ilim camiasında etkin
olan Hanefî fakihler, Osmanlı ilim camiasında önde gelen isimlerin yetişmesine
katkı sunmuşlardır. Molla Fenârî, Seyyid Şerif Cürcânî,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Şeyh Bedreddin ve Şair Ahmedî gibi isimler
Mısır’da dönemin önemli Hanefî fakihlerinden olan Bâbertî’den ders almışlardır.
Memlükler dönemi Hanefî fıkıh düşüncesi ilk dönem Osmanlı fıkıh çalışmaları
üzerinde etkili olmuştur ki,</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Osmanlı
medreselerinde eğitim alan fakihler de Memlük Hanefî fakihlerinden
etkilenmişlerdir. Bu bağlamda Molla Hüsrev, Memlüklerin hâkimiyetinde olan
bölgelere gitmemesine rağmen, eserinin birçok yerinde önde gelen Memlük Hanefî
fakihleri olan Zeyla‛î ve Bâbertî’ye atıflarda bulunmaktadır. Memlûkler dönemi
Hanefî düşüncesinin iki temel özelliği olan hadis merkezli fıkıh düşüncesi ve
memzûc yöntem fıkıh usûlü anlayışlarıdır. Memlükler döneminde Hanefî mezhebinde
daha öncesinde pek görülmeyen hadis çalışmaları yapılmıştır. Bu dönemde İbn
Balabân, İbn Türkmânî, Zeylaʻî, Kuraşî, Moğultay b. Kılıç, Bedruddin Aynî, İbn
Kutluboğa, Serûcî, Bâbertî, İbnü’l-Hümâm, İbnü’l-Adîm gibi Hanefî fakihler
hadis alanında mesai harcamışlardır. Bunlar hadis uzmanlığı gerektiren
çalışmaları ile Hanefî mezhebindeki hadis ilmi konusundaki eksikliği gidermeye
çalışmışlardır. Bu fakihlerin hadis alanındaki çalışmalarının bir sonucu olarak
Memlükler dönemindeki fıkıh çalışmalarında sıklıkla temel hadis kaynaklarına
yer verilmiş ve hadis tahricleri yapılmaya başlanmıştır.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Memlükler dönemi Hanefî fakihlerin fıkıh
düşüncesinde önemli yeri olan bu anlayışın etkisi, ilk dönem Osmanlı fıkıh
eserlerinde hissedilir bir şekilde görülmektedir.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Bu bağlamda Molla Hüsrev, kendisinden önce
Mısır’da eğitim alan ilk dönem Osmanlı fakihlerinin de etkisiyle söz konusu
eserinde yer yer temel hadis kaynaklarına yer vermiş ve bazen hadislerin
sıhhatı hakkında bilgi vermiştir.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Buna
karşın Osmanlı dönemi fıkıh eserlerinde bu hususun Memlük Hanefî fukahâsıyla
mukayese edildiğinde oldukça yetersiz olduğunu söylemek mümkündür.
İbnü’l-Hümâm’ın </span><i><span style=""font-size:14px;"">Fethu’l-kadîr’</span></i><span style=""font-size:14px;"">i ile onu tamamlamak için Kādızâde’nin
etlif ettiği </span><i><span style=""font-size:14px;"">Netâicu’l-efkâr</span></i><span style=""font-size:14px;""> adlı eserleri bu konuda mukayese
edilebilir. Bunun dışında aynı dönemde yaşamış olan Şürünbülâlî ile Damad
Efendi olarak bilinen Şeyhîzâde arasında bu hususta farklı tutumların olduğu
görülmektedir. Osmanlı dönemi Mısır âlimlerinden olan Şürünbülâlî, </span><i><span style=""font-size:14px;"">Merâki’l-felâh
</span></i><span style=""font-size:14px;"">adlı eserinde genellikle hadisleri temel hadis kaynaklarından verirken;
Şeyhîzâde, </span><i><span style=""font-size:14px;"">Mecma‛ü’l-enhur</span></i><span style=""font-size:14px;""> adlı eserinde bu hususa pek riayet etmemiş ve
nadiren temel hadis kaynaklarına yer vermiştir. Bu farklılıklar ilmi çevrenin
gerektirdiği ihtiyaç ile açıklanabilir. Zira Mısır ve çevresinde Hanefîlerin
hadis bilmemek ve hadis kullanmamakla itham edildiği için bu bölgede yaşayan
Hanefî fakihleri, hadis konusunda daha titiz olmaya yönlendirmiş olmalıdır.
Fakat diğer Osmanlı bölgelerinde yaşayan Hanefî fakihlerin böyle bir problemi
olmadığından muhtemelen hadislerin iktibasında temel hadis kaynaklarını
referans alma ihtiyacı hissetmemişlerdir. Dolayısıyla ilim muhitinin farklı
olması ve bu doğrultuda ortaya çıkan ihtiyaç, aynı dönemde yaşayan fakihlerin
farklı tutum geliştirmelerine yol açtığı söylenebilir. İbnu’s-Sââtî ile
başlayan memzûc (karma) yöntem, h. 8. asırda özellikle Hanefî fakihlerin fıkıh
usûlü düşüncesi üzerinde etkili olmuştur. Memzûc yöntemin ilk ismi olan
İbnu’s-Sââtî’nin, Memlûkler dönemi âlimlerinden olmamasına rağmen onun
başlattığı etki, Memlûkler döneminde daha fazla ortaya çıkmış ve Memlûkler
dönemi Hanefî fıkıh düşüncesinin karakteristik özelliklerinden biri olmuştur.
Bundan dolayı bu dönmede Hanefî fakihlerin ekseriyetinin memzûc yönteme sahip
olduğu anlaşılmaktadır.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Bunun yanında
Mısır ve çevresinde eğitim alan Osmanlı fakihlerinin memzûc tarzda usûl
eserleri yazdıkları görülmektedir. Molla Fenârî’nin </span><i><span style=""font-size:14px;"">Fusûlü’l-Bedâyi</span></i><span style=""font-size:14px;""> adlı
eseri bunun en önemli örneğidir. Dahası Mısır ve çevresine gitmemiş olan Molla
Hüsrev bile memzûc tarzda </span><i><span style=""font-size:14px;"">Mir’âtü’l-Usûl</span></i><span style=""font-size:14px;""> adında bir eser yazmıştır. Söz
konusu iki müellifin eserleri, Osmanlı fakihlerinin Memlûklerden etkilendiğini
göstermektedir. Sonuç olarak Osmanlıların ilk dönemindeki fıkıh çalışmalarının,
kendine has özellikleri bulunan Memlûk Hanefîlerinden etkilendiğini söylemek
mümkündür.</span><span style=""font-size:14px;"">  </span><span style=""font-size:14px;"">Hadis merkezli fıkıh
düşüncesi ve memzûc fıkıh usûlü anlayışı Osmanlı ilk dönem fıkıh çalışmaları
üzerinde etkili olmuştur. </span><b></b></span></p><p><b></b></p><b></b><p></p>",,"Din Araştırmaları",tr,"Araştırma Makalesi",2019-09-17,2019-12-02,,
1223329,"Murat Şimşek, İmam Ebû Hanîfe ve Hanefîlik, Hacıveyiszade İlim ve Kültür Vakfı Yayınları, Konya 2019, 399 s.",,"Mahmut Samar (OSMANİYE KORKUT ATA ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ)","Mahmut Samar | OSMANİYE KORKUT ATA ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ | OSMANİYE KORKUT ATA ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ",,,"İslam Hukuku,Kitap İncelemesi,Murat Şimşek","İslam Hukuku Araştırmaları Dergisi",1304-1045,2791-9730,"Gençleri Evlendirme ve Mehir Vakfı",2019,,33,681-688,"Fıkıh tarihinin en önemli iki öğesi mezhep ve kurucu imamdır. Tarihi süreç içerisinde kısmen bölgesel kısmen de metodolojik farlılıklara bağlı olarak onlarca fıkıh mezhebi ortaya çıkmıştır. Bilindiği üzere kronolojik sıra itibariyle oluşumunu tamamlayan ilk mezhep Hanefî mezhebidir. Hanefî mezhebinin -hatta bir bütün olarak fıkıh ilminin- kurucu imamı Ebû Hanîfe’dir. Bu nedenle fıkıh tarihinde Ebû Hanîfe ve Hanefîlik önemli bir yeri haizdir. İşte tanıtımını yapacağımız eser, bu çerçevede Murat ŞİMŞEK tarafından kaleme alınmış önemli bir çalışmadır.",,"Din, Toplum ve Kültür Araştırmaları ",tr,"Kitap İncelemesi",2018-11-01,,,
689974,"Hanefî Mezhebinin Teşekkül Sürecinde Alkame b. Kays’ın (ö. 62/682) Yeri",10.28949/bilimname.689974,"Mahmut Samar (Ankara Sosyal Bilimler Üniversitesi İslami İlimler Fakültesi)","Mahmut Samar | ORCID: 0000-0003-0268-9115 | Ankara Sosyal Bilimler Üniversitesi İslami İlimler Fakültesi | Ankara Sosyal Bilimler Üniversitesi İslami İlimler Fakültesi",,,"Fıkıh,Hanefilik,Alkâme b. Kays",Bilimname,1304-1878,2148-5860,"Erciyes Üniversitesi",2020,2020,41,633-662,"<div style=""text-align:justify;""><span style=""font-size:.9em;"">İslam hukuk tarihinde fıkıh mezheplerinin ortaya çıkışı hicri üçüncü yüzyıla denk gelmektedir. Ancak mezheplerin oluşum süreci ilk kaynağa doğru müteselsil bir bilgi, düşünce ve hoca ağına dayanır.  Bu anlamda sahâbe döneminden itibaren farklı bölgelerde kurulan fıkıh okullarının birikimi nesilden nesile aktarıldı. Bu aktarım gelişerek mezheplerin teşekkülüne kadar devam etti. Fıkıh geleneği olarak ifade edilen bu süreçte hoca halkasının önemi büyüktür. Buradan hareketle Hanefî mezhebinin ve doğal olarak kurucusu olan İmam Ebû Hanîfe’nin yetiştiği ve bağlı olduğu fıkıh mektebi, sonradan ehl-i re’y olarak temayüz eden Kûfe merkezli Irak fıkhıdır. Kaynaklar bu geleneğin hocalar silsilesini Abdullah b. Mes‘ûd, Alkame b. Kays, İbrahim en-Nehaî, Hammâd b. Ebî Süleyman ve Ebû Hanîfe şeklinde kaydeder. Halkada adı geçen şahısların her biri Hanefî mezhebinin oluşumunda farklı bir role sahiptir. İşte bu çalışma Alkame b. Kays’ın Kûfe fıkıh mektebinin oluşturduğu re’yci düşünce neticesinde tarih sahnesinde yer alan ve günümüze kadar etkisini sürdürmeyi başaran Hanefî mezhebinin oluşumundaki rolünü/etkisini ortaya koyma hedefiyle kaleme alınmıştır. Bu çerçevede gerek fıkıh usulü gerekse de fıkha dair ona ait görüşlerin Hanefî mezhebine ne ölçüde kaynaklık ettiğinin tespiti üzerinde durulacaktır. Ayrıca onun yetiştirdiği seçkin talebeleri aracılığıyla Hanefî fıkhına ne ölçüde katkıda bulunduğunun izleri sürülecektir. Bu amaçla çalışma, iki temel başlıktan oluşacaktır. Birinci başlıkta kısaca Alkame b. Kays’ın hayatı ve ilmî kişiliği üzerinde durulacaktır. İkinci başlık altında ise Alkame’nin fıkhî görüşleri ve bu görüşlerin Hanefî mezhebinde ne ölçüde yer bulduğu gibi konular ele alınacaktır.</span></div>",,,tr,"Araştırma Makalesi",2020-02-16,2020-04-24,,
513991,"İmam Serahsî’nin Hanefî Haber Teorisinin Oluşumundaki Rolü",,"Fatih Orhan (ÇUKUROVA ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ)","Fatih Orhan | ORCID: 0000-0003-4076-9984 | ÇUKUROVA ÜNİVERSİTESİ, İLAHİYAT FAKÜLTESİ | CUKUROVA UNIVERSITY, FACULTY OF THEOLOGY",,,"Usûl,Fıkıh,Hanefî,Serahsî,Haber Teorisi","Eskişehir Osmangazi Üniversitesi İlahiyat Fakültesi Dergisi",2147-8171,2980-1109,"Eskişehir Osmangazi Üniversitesi",2019,6,10,39-60,"<p class=""MsoNormal"" align=""center"" style=""text-align:center;text-indent:0cm;""><span style=""font-family:'Times New Roman', serif;font-size:.9em;"">Hanefî haber teorisinin temelleri, Küfe ekolünün önde gelen isimlerinden Îsâ
b. Ebân ve Cessâs tarafından atılmış olmakla birlikte bu teorinin sistematik
hale getirilmesi Hanefî usulünün kurucusu kabul edilen Debûsî, Pezdevî ve
Serahsî üçlüsü ile mümkün olmuştur. Bu açıdan her üç müçtehidin yazmış
oldukları usûl eserleri Hanefî fıkıh usûlünün klasik eserleri arasında önemli
bir yere sahiptir.</span><br /></p>

<p class=""MsoNormal""><span lang=""tr"" style=""line-height:150%;font-family:'Times New Roman', serif;"" xml:lang=""tr"">Serahsî’nin yazmış olduğu fıkıh usûlü eseri, bir ders kitabı niteliğinde
olmaktan ziyade konunun uzmanlarına hitap edecek tarzda ayrıntılı bir biçimde
yazılmıştır. Serahsî kitabında Hanefî haber teorisini ele alırken bu üslubunu
devam ettirmiş ve diğer usûl kitaplarında hiç ele alınmayan, ayrıntı kabul
edilebilecek farklı konulara değinmiştir. Hanefî haber teorisinde çokça
tartışılan, âhâd haberin kabulüne ilişkin ileri sürülen ‘râvinin fakih olması’
şartı üzerinde durması yanında daha çok mütevatir haber ve onun bilgi değerine
önem atfetmiş ve konuyu bu noktada detaylandırmıştır. Biz bu çalışmada genel
olarak Serahsî'nin, Hanefî haber teorisine ve dolayısıyla fıkıh usûlü ilmine sunmuş
olduğu katkıyı tespit etmeye ve sunmaya çalışacağız.</span></p><p></p>",,"Din Araştırmaları",tr,"Araştırma Makalesi",2019-01-17,2019-02-27,,
739194,"Fıkıh Usûlü Kelâm İlişkisi “Hicri VII. Asra Kadar Hanefî Usûlü Bağlamında”",10.56361/usul.739194,"Muhammet Varelci (RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ)","Muhammet Varelci | ORCID: 0000-0003-1963-7717 | RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ | RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ",,,"usûl,kelam,hanefî usûlcüler","Usul İslam Araştırmaları",1305-2632,2147-8279,"İstanbul Sabahattin Zaim Üniversitesi",2020,34,34,332-338,"Mehmet Sait Arvas’ın hazırlamış olduğu doktora tezinin kitaplaştırılmış hali olan Fıkıh Usûlü Kelâm İlişkisi isimli bu çalışmada da fıkıh usûlü ve kelâm disiplinlerinin birbiriyle olan ilişki ve irtibatı ilk dönem Hanefî usûlcüleri bağlamında ve kelâm ekolleriyle mukayeseli olarak ele alınıyor. Mehmet Sait Arvas’ın hazırlamış olduğu doktora tezinin kitaplaştırılmış hali olan Fıkıh Usûlü Kelâm İlişkisi isimli bu çalışmada da fıkıh usûlü ve kelâm disiplinlerinin birbiriyle olan ilişki ve irtibatı ilk dönem Hanefî usûlcüleri bağlamında ve kelâm ekolleriyle mukayeseli olarak ele alınıyor.",,"Din Araştırmaları",tr,"Kitap İncelemesi",2020-05-18,2020-10-03,,
1331625,"Bakkâlî Nispetiyle Anılan Hanefî Fakihin Kimliğinin Tespiti ve Bazı Fıkhî Görüşleri",10.18505/cuid.1331625,"Ekrem Koç (Ağrı İbrahim Çeçen Üniversitesi)","Ekrem Koç | ORCID: 0000-0003-0408-9834 | Ağrı İbrahim Çeçen Üniversitesi | Ağrı İbrahim Çeçen Üniversitesi",,,"İslam Hukuku,Hanefî mezhebi,Bakkâlî,Ebû İmrân Mûsâ b. Yûsuf el-Bakkâlî,Meşâyih,İçtihat","Cumhuriyet İlahiyat Dergisi",2528-9861,2528-987X,"Sivas Cumhuriyet Üniversitesi",2023,27,2,480-503,"Fıkıh ilmi ve mezheplerinin müktesebatının oluşturulmasında katkı sunan mezhep imamlarının usûlünü ve görüşlerini sonraki nesillere aktaran, onların öğrencileriyle irtibatlı çok sayıda âlim bulunmaktadır. Hanefî mezhebi tarihinde de eserleri, görüşleri veya sadece isimleri günümüze ulaşan birçok âlim bulunmaktadır. Eserleriyle ön plana çıkan âlimlerin görüşlerine yazdıkları eserlerinden ulaşılmaktadır. Eserleri olmayan veya eserleri günümüze ulaşmayan bazı âlimlerin görüşlerine ise fıkıh külliyatı içerisinde diğer âlimler tarafından yapılan nakillerle muttali olmaktayız. Ne yazık ki ne eseri ne de görüşü bize ulaşan yalnız ismine atıfta bulunulan nice âlim söz konusudur. Bu çalışmada, fıkıh literatüründe ismi geçmesine rağmen ilmî şahsiyeti, fıkıhtaki konumu ve eserleri günümüze ulaşmayan Hanefî fakih Bakkâlî (öl. 452/1060) konu edilmiştir. Makale, Bakkâlî'nin kim olduğunun tespiti konusunda çeşitli kaynakları ve delilleri incelemektedir. Zira Bakkâlî nispetiyle anılan iki farklı âlimin varlığı söz konusudur. Bu muammanın giderilmesi gerekmektedir. Makalenin temel argümanını, tabakât eserlerinden ziyade Hanefî fıkıh külliyatının muteber kaynakları arasında yer alan fıkıh kitapları üzerinde yapılan incelemeler ve dijital kaynaklardaki taramalar şekillendirmiş ve açığa kavuşturmuştur. Bakkâlî isimli âlimin ilmî şahsiyeti ile fıkhî görüşlerinin tespiti ve tanıtımı makalenin mümeyyiz vasfını oluşturmaktadır. Bakkâlî, Hanefî fıkıh geleneği içinde etkili bir fakih olarak kabul edilmiş ve meşâyihten sayılmıştır. Meşâyih olarak adlandırılan âlimler, mezhep içindeki içtihat çeşitliliğini düzenlemek ve yeni fıkhî meselelere çözüm üretmek amacıyla faaliyet gösterirler. Bununla birlikte mevcut deliller göz önünde bulundurularak Bakkâlî nispetiyle ön plana çıkan Bakkâlî’nin Hanefî mezhebindeki görüşlerine müracaat edilen Bakkâlî olmadığı ispat edilirken; ortaya çıkan ihtimaller içinden Bakkâlî’nin kimliğinin tespitinde ağır basan görüşlere yer verilmektedir. Bu nedenle Bakkâlî’nin daha fazla araştırma ve inceleme gerektiren bir figür olduğuna dikkat çekilmektedir. Bu makalenin Hanefî fıkıh geleneğinin anlaşılmasına katkı sağlayabileceği vurgulanmaktadır. Onun bazı ibadet ve muamelat konularındaki fıkhi görüşleri, önemli tartışmaları yansıtmaktadır. O, Hanefî mezhebinin temel prensiplerine bağlı kalmış olsa da zaman zaman imamların veya mezhebin genel görüşlerine karşı özgün içtihatlar geliştirmiştir. Onun özgün içtihatları ve fıkhî görüşleri, mezhep literatüründe önemli bir yer tutmaktadır. Özellikle fetva konularında etkili olmuş ve kendi görüşlerini sonraki fakihlere miras bırakmıştır. Bu tür bir tespit çalışması, ilim tarihi ve fıkıh tarihi alanlarında bir bilimsel sorunun çözümünü hedefler. İlgili kişilerin kimliklerinin ve uzmanlık alanlarının netleştirilmesi, tarihsel ve bilimsel bir açıklığın sağlanmasına yardımcı olabilir. Bu makale, bu konuda daha fazla bilgi edinmeyi ve belirsizlikleri azaltmayı amaçlayarak fıkıh tarihine katkıda bulunmayı hedeflemektedir.",,"İslam Hukuku",tr,"Araştırma Makalesi",2023-07-23,2023-11-14,,
