# el-Cevâhirü'l-mudıyye maddesi <tab> fakih id <tab> (yalnızca okumak için) madde başı · fakih adı
# Madde numarası tools/import_cevahir.py'nin verdiği sıra numarasıdır (kitaptaki sıraya göre, 1'den).
# Eşleşmeler ad zinciri, nisbe ve vefat yılına göre bulunup tek tek elle kontrol edildi.
179	ebul-huseyin-ahmed-b-muhammed-el-kuduri	أحمد بن محمد بن أحمد بن جعفر بن حمدان · أبو الحسين القدوري
188	semseddin-ahmed-b-muhammed-el-ukayli-el-buhari	أحمد بن محمد بن أحمد العقيلي الأنصاري البخاري · أحمد بن محمد العقيلي البخاري
191	ebu-ali-ahmed-b-muhammed-es-sasi	أحمد بن محمد بن إسحاق أبو علي الشاشي · أبو علي الشاشي
195	ebu-bekir-ahmed-b-muhammed-et-tavavisi	أحمد بن محمد بن حامد بن هاشم أبو بكر الطواويسي يرو · أبو بكر الطواويسي
204	ebu-cafer-ahmed-b-muhammed-et-tahavi	أحمد بن محمد بن سلامة بن سلمة بن عبد الملك بن سلمة · أبو جعفر الطحاوي
207	ebu-mansur-ahmed-b-muhammed-b-said-el-istivai	أحمد بن محمد بن صاعد بن محمد أبو نصر الإستوائي قاض · أحمد بن محمد بن صاعد
211	kadil-haremeyn-ahmed-b-muhammed-en-nisaburi	أحمد بن محمد بن عبد الله أبو الحسن النيسابوري · قاضي الحرمين أحمد بن محمد النيسابوري
216	ebu-amr-ahmed-b-muhammed-et-taberi	أحمد بن محمد بن عبد الرحمن أبو عمر والطبري الملقب  · أبو عمرو الطبري
221	ebul-abbas-ahmed-b-muhammed-en-natifi	أحمد بن محمد بن عمر أبو العباس الناطفي · أبو العباس الناطفي
222	zahiduddin-ebu-nasr-ahmed-b-muhammed-el-attabi	أحمد بن محمد بن عمر أبو نصر العتابي البخاري وقيل أ · أبو نصر العتابي
224	ebul-abbas-ahmed-b-muhammed-el-birti	أحمد بن محمد بن عيسى بن الأزهر أبو العباس البرتي · أبو العباس البرتي
231	sadrul-eimme-ebul-meali-ahmed-b-muhammed-el-pezdevi	أحمد بن محمد بن محمد بن الحسين بن عبد الكريم بن مو · أبو المعالي أحمد بن محمد البزدوي
233	ahmed-b-muhammed-el-akta	أحمد بن محمد بن محمد أبو نصر المعروف بالأقطع · الأقطع أحمد بن محمد
236	ahmed-b-muhammed-b-mahmud-el-gaznevi	أحمد بن محمد بن محمود ابن سيد الغزنوي مفيد · أحمد بن محمد الغزنوي
239	ebul-bedi-ahmed-b-muhammed-el-mekhuli	أحمد محمد بن مكحول بن الفضل أبو البديع المكحولي · أبو البديع المكحولي
240	kadi-ebu-bekir-ahmed-b-muhammed-ed-damgani	أحمد بن محمد بن منصور · أبو بكر الدامغاني
250	humameddin-ahmed-b-mahmud-el-hasiri	أحمد بن محمود بن أحمد بن عبد السيد همام الدين الحص · أحمد بن محمود الحصيري
251	nureddin-ahmed-b-mahmud-es-sabuni	أحمد بن محمود بن بكر الصابوني أبو محمد الملقب نور  · نور الدين الصابوني
255	ebul-abbas-ahmed-b-mesud-el-konevi	أحمد بن مسعود بن عبد الرحمن أبو العباس القونوي · أحمد بن مسعود القونوي
260	kadi-ebu-nasr-ahmed-b-mansur-el-isbicabi	أحمد بن منصور أبو نصر الأسبيجابي · أبو نصر الإسبيجابي
262	ebu-cafer-ahmed-b-ebu-imran-el-bagdadi	أحمد بن أبي عمران موسى بن عيسى أبو جعفر · أحمد بن أبي عمران البغدادي
282	imaduddin-ebul-abbas-ahmed-b-yusuf	أحمد بن يوسف بن علي بن محمد بن أحمد أبو نصر وقيل أ · أحمد بن يوسف عماد الدين
294	ishak-b-ibrahim-es-sasi-es-semerkandi	إسحاق بن إبراهيم أبو يعقوب الخرساني الشاشي · إسحاق بن إبراهيم الشاشي
298	necmeddin-ebu-tahir-ishak-b-ali	إسحاق بن علي بن يحيى الملقب نجم الدين أبو الطاهر · إسحاق بن علي نجم الدين
301	ebul-kasim-ishak-b-muhammed-el-hakim-es-semerkandi	إسحاق بن محمد بن إسماعيل بن إبراهيم بن زيد أبو الق · أبو القاسم الحكيم السمرقندي
307	kadi-esed-b-amr-el-beceli-el-kufi	أسد بن عمرو بن عامر بن عبد الله بن عمرو بن عامر بن · أسد بن عمرو البجلي
314	cemalulislam-ebul-muzaffer-esad-b-muhammed-el-kerabisi	أسعد بن محمد بن الحسين الكرابيسي النيسابوري أبو ال · أسعد بن محمد الكرابيسي
321	ebu-ibrahim-ismail-b-ahmed-es-saffar	إسماعيل بن أحمد بن إسحاق بن شيث الصفار أبو إبراهيم · إسماعيل بن أحمد الصفار
327	ebu-muhammed-ismail-b-el-hasan	إسماعيل بن الحسين بن علي بن الحسين بن هارون · إسماعيل بن الحسن
328	ismail-b-hammad-b-ebu-hanife	إسماعيل بن حماد بن أبي حنيفة · إسماعيل بن حماد بن أبي حنيفة
329	tacuddin-ismail-b-halil	إسماعيل بن خليل · إسماعيل بن خليل تاج الدين
340	ismail-b-abdussadik-el-hatib-el-beyari	إسماعيل بن عبد الصادق بن عبد الله بن سعيد بن مسعدة · إسماعيل بن عبد الصادق البياري
343	residuddin-ismail-b-osman-ibnul-muallim	إسماعيل بن عثمان بن عبد الكريم بن تمام بن محمد الق · ابن المعلم إسماعيل بن عثمان
351	ebu-sad-ismail-b-muhammed-el-haccaci-el-kemari	إسماعيل بن محمد بن أحمد بن جعفر أبو سعيد · إسماعيل بن محمد الحجاجي الكماري
363	esrefuddin-ebul-fazl-esref-b-necib	أشرف بن نجيب بن محمد بن محمد أبو الفضل الكاشاني · أشرف بن نجيب
367	bahaeddin-ebu-sabir-eyyub-b-ebu-bekir-en-nehhas-el-halebi	أيوب بن أبي بكر بن إبراهيم بن هبة الله بن طارق بن  · أيوب بن أبي بكر النحاس الحلبي
