# Arapça ad	Fukahâ'daki fakih kimliği. Hoca ve talebe adlarından, farklı yazılsa da kaydı olan bir fakihe işaret edenler; elle doğrulandı.
أبو بكر الجصاص الرازي	ebu-bekir-ahmed-b-ali-er-razi-el-cessas
أبو بكر الإسكاف	ebu-bekir-muhammed-b-ahmed-el-iskaf-el-belhi
أبو بكر الوراق	ebu-bekir-ahmed-b-ali-el-verrak-et-tirmizi
أبوه أبو بكر محمد بن موسى الخوارزمي	ebu-bekir-muhammed-b-musa-el-harezmi
أبو بكر محمد الخوارزمي	ebu-bekir-muhammed-b-musa-el-harezmi
أبو بكر محمد العياضي	ebu-bekir-muhammed-b-ahmed-el-iyazi
أبوه أبو نصر أحمد العياضي	ebu-nasr-ahmed-b-el-abbas-el-iyazi
ابنه أبو أحمد نصر العياضي	ebu-ahmed-nasr-b-ahmed-el-iyazi
أبو بكر محمد بن الحسن بن منصور النسفي	ebu-bekir-muhammed-b-el-hasan-en-nesefi
أبو تمام علي بن محمد الواسطي	ali-b-muhammed-el-vasiti
أبو حفص الكبير	ebu-hafs-el-kebir-ahmed-b-hafs-el-buhari
أبو عبد الله الحسين بن علي الصيمري	kadi-ebu-abdullah-el-huseyin-b-ali-es-saymeri
الحسين بن علي الصيمري	kadi-ebu-abdullah-el-huseyin-b-ali-es-saymeri
أبو عبد الله محمد بن علي الدامغاني	kadilkudat-ebu-abdullah-muhammed-b-ali-ed-damgani-el-kebir
قاضي القضاة أبو عبد الله محمد بن علي الدامغاني	kadilkudat-ebu-abdullah-muhammed-b-ali-ed-damgani-el-kebir
أبو عبد الله محمد بن يحيى الجرجاني	ebu-abdullah-muhammed-b-yahya-el-curcani
أبو عصمة نوح الجامع	ebu-isme-nuh-b-ebu-meryem-el-mervezi
أبو عمرو عثمان بن علي البيكندي	ebu-amr-osman-b-ali-el-beykendi-el-buhari
أبو محمد عبد الله الناصحي	ebu-muhammed-abdullah-b-el-huseyin-en-nasihi
أبوه أبو محمد عبد الله الناصحي	ebu-muhammed-abdullah-b-el-huseyin-en-nasihi
أبو نصر أحمد بن عبد الله الخيزاخزي	ebu-nasr-ahmed-b-abdullah-el-hayzahazi
والده عبد الله بن الفضل	ebu-muhammed-abdullah-b-el-fazl-el-hayzahazi
أبو يعقوب يوسف السكاكي	siraceddin-ebu-yakub-yusuf-b-muhammed-es-sekkaki
سراج الدين يوسف السكاكي	siraceddin-ebu-yakub-yusuf-b-muhammed-es-sekkaki
أبو يعقوب يوسف السياري	ebu-yakub-yusuf-b-mansur-es-seyyari
