# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
ركن الدين البداؤني	Rükneddin el-Bedayuni
ركن الدين السمرقندي	Rükneddin es-Semerkandi
ركن الدين الطاووسي	Rükneddin et-Tavusi
ركن الدين زيرك محمد	Rükneddin Zirek Muhammed
ركن الدين فيض الله الملتاني	Rükneddin Feyzullah el-Multani
ركن الدين محمد بن عبد الرشيد الكرماني	Rükneddin Muhammed b. Abdürreşid el-Kirmani
ركن الدين مسعود بن الحسن	Rükneddin Mes'ud b. el-Hasan
زفر	Züfer
زكي الدين مسعود بن الحسن الكشاني	Zekiyyüddin Mes'ud b. el-Hasan el-Keşani
زيد بن أسامة	Zeyd b. Üsame
زيرك زاده ركن الدين محمد	Zirekzade Rükneddin Muhammed
زين الدين العراقي	Zeynüddin el-Iraki
زين الدين قاسم بن قطلوبغا	Zeynüddin Kasım b. Kutluboğa
سراج الدين الثقفي	Siraceddin es-Sekafi
سراج الدين الثقفي الدهلوي	Siraceddin es-Sekafi ed-Dehlevi
سراج الدين عمر قارئ الهداية	Siraceddin Ömer Kariü'l-Hidaye
سراج الدين قارئ الهداية	Siraceddin Kariü'l-Hidaye
سراج الدين يوسف السكاكي	Siraceddin Yusuf es-Sekkaki
سعد الدين الكاشغري	Sa'deddin el-Kaşgari
سعدي جلبي	Sa'di Çelebi
سفيان الثوري	Süfyan es-Sevri
سفيان بن عيينة	Süfyan b. Uyeyne
سنان الدين	Sinaneddin
سنان باشا	Sinan Paşa
سيدي الحميدي	Seyyidi el-Humeydi
شداد بن حكيم	Şeddad b. Hakim
شرف الدين عمر بن محمد العقيلي	Şerefüddin Ömer b. Muhammed el-Ukayli
شريك	Şerik
شعبة	Şu'be
شمس الأئمة بكر الزرنجري	Şemsüleimme Bekir ez-Zerenceri
شمس الأئمة بكر بن محمد الزرنجري	Şemsüleimme Bekir b. Muhammed ez-Zerenceri
شمس الأئمة عبد العزيز الحلواني	Şemsüleimme Abdülaziz el-Halvani
شمس الأئمة محمد الكردري	Şemsüleimme Muhammed el-Kerderi
شمس الأئمة محمد بن عبد الستار الكردري	Şemsüleimme Muhammed b. Abdüssettar el-Kerderi
شمس الأئمة محمد بن عبد الكريم التركستاني	Şemsüleimme Muhammed b. Abdülkerim et-Türkistani
شمس الدين أبو الثناء الأصفهاني	Şemseddin Ebu's-Sena el-İsfahani
شمس الدين أحمد السروجي	Şemseddin Ahmed es-Serüci
شمس الدين أحمد بن كمال باشا	Şemseddin Ahmed b. Kemal Paşa
شمس الدين البساطي	Şemseddin el-Bisati
شمس الدين الخطيب	Şemseddin el-Hatib
شمس الدين الخطيب الدولي	Şemseddin el-Hatib ed-Devli
شمس الدين السخاوي	Şemseddin es-Sehavi
شمس الدين القريمي	Şemseddin el-Kırımi
شمس الدين عبد الله بن عطاء	Şemseddin Abdullah b. Ata
شمس الدين محمد الفناري	Şemseddin Muhammed el-Fenari
شمس الدين محمود	Şemseddin Mahmud
شمس الدين محمود الفرضي	Şemseddin Mahmud el-Feradi
شمس الدين محمود بن أبي بكر الكلاباذي	Şemseddin Mahmud b. Ebi Bekir el-Kelabazi
شمس الدين محمود بن أحمد	Şemseddin Mahmud b. Ahmed
صاحب القنية	el-Kunye müellifi
صاحب المحيط	el-Muhit müellifi
صاحب الهداية	Hidaye müellifi
صاعد بن محمد	Saıd b. Muhammed
صدر الأفاضل يوسف	Sadrüleafadıl Yusuf
صدر الدين سليمان بن وهب	Sadreddin Süleyman b. Vehb
صدر الدين محمد الخلاطي	Sadreddin Muhammed el-Hilati
صلاح الدين معلم السلطان بايزيد	Salahaddin, Sultan Bayezid'in hocası
ضياء الدين محمد بن الحسين البنديخي	Ziyaeddin Muhammed b. el-Hüseyn el-Bendihi
ضياء الدين محمود البندنيجي	Ziyaeddin Mahmud el-Bendeniçi
طاهر بن أحمد صاحب الخلاصة	Tahir b. Ahmed, el-Hulasa müellifi
ظهير الدين علي بن عبد العزيز المرغيناني	Zahirüddin Ali b. Abdülaziz el-Merginani
ظهير الدين محمد بن أحمد صاحب الفتاوى الظهيرية	Zahirüddin Muhammed b. Ahmed, el-Fetava'z-Zahiriyye müellifi
ظهير الدين محمد بن عمر البخاري	Zahirüddin Muhammed b. Ömer el-Buhari
عابد جلبي عبد العزيز بن يوسف الحسيني	Abid Çelebi Abdülaziz b. Yusuf el-Hüseyni
عاصم الأحول	Asım el-Ahvel
عبد الأول بن برهان الدين علي	Abdülevvel b. Burhanüddin Ali
عبد الحليم بن علي القسطموني	Abdülhalim b. Ali el-Kastamoni
عبد الدائم	Abdüddaim
عبد الرحمن بن شجاع	Abdurrahman b. Şuca'
عبد الرحمن بن علي	Abdurrahman b. Ali
عبد الرحمن بن مهدي	Abdurrahman b. Mehdi
عبد الرحيم بن عماد الدين صاحب الفصول العمادية	Abdürrahim b. İmadüddin, el-Fusulü'l-İmadiyye müellifi
عبد السلام البصري	Abdüsselam el-Basri
عبد العزيز البخاري	Abdülaziz el-Buhari
عبد العزيز بن عمر بن مازه	Abdülaziz b. Ömer b. Maze
عبد اللطيف بن ملك	Abdüllatif b. Melek
عبد الله السبذموني	Abdullah es-Sebezmuni
عبد المجيد بن إسماعيل قاضي بلاد الروم	Abdülmecid b. İsmail, Rum diyarı kadısı
عبد الواسع بن خضر	Abdülvasi' b. Hızır
عبد الوهاب الأنماطي	Abdülvehhab el-Enmati
عبد الوهاب بن أحمد بن وهبان الدمشقي	Abdülvehhab b. Ahmed b. Vehban ed-Dımaşki
عبيد الله بن إبراهيم المحبوبي	Ubeydullah b. İbrahim el-Mahbubi
عز الدين محمد بن أبي بكر بن جماعة	İzzeddin Muhammed b. Ebi Bekir b. Cemaa
علاء الدين أبو بكر الكاساني	Alaeddin Ebu Bekir el-Kasani
علاء الدين أبو بكر محمد السمرقندي	Alaeddin Ebu Bekir Muhammed es-Semerkandi
علاء الدين أبو بكر محمد بن أحمد السمرقندي	Alaeddin Ebu Bekir Muhammed b. Ahmed es-Semerkandi
علاء الدين الأسمندي السمرقندي	Alaeddin el-Esmendi es-Semerkandi
علاء الدين الطوسي	Alaeddin et-Tusi
علاء الدين العربي	Alaeddin el-Arabi
علاء الدين الكاساني	Alaeddin el-Kasani
علاء الدين سديد بن محمد الخياطي	Alaeddin Sedid b. Muhammed el-Hayyati
علاء الدين عبد العزيز البخاري	Alaeddin Abdülaziz el-Buhari
علاء الدين علي المروزي	Alaeddin Ali el-Mervezi
علاء الدين علي بن بلبان الفارسي	Alaeddin Ali b. Balaban el-Farisi
علاء الدين علي بن عثمان ابن التركماني	Alaeddin Ali b. Osman İbnü't-Türkmani
علاء الدين علي بن عثمان التركماني	Alaeddin Ali b. Osman et-Türkmani
علاء الدين محمد بن أحمد السمرقندي	Alaeddin Muhammed b. Ahmed es-Semerkandi
علاء الدين محمد بن عبد الحميد السمرقندي	Alaeddin Muhammed b. Abdülhamid es-Semerkandi
علم الدين السخاوي	Alemüddin es-Sehavi
علي الرستغفني	Ali er-Rüstüğfeni
علي القوشجي	Ali Kuşçu
علي القوشجي (بواسطة لطفي التوقاتي)	Ali Kuşçu (Lutfi et-Tokadi vasıtasıyla)
علي بن أمر الله	Ali b. Emrullah
علي بن الحسن البرهان البلخي	Ali b. el-Hasan el-Burhan el-Belhi
علي بن الحسين الصندلي	Ali b. el-Hüseyn es-Sandeli
علي بن المديني	Ali b. el-Medini
عماد الدين الحسين بن علي اللامشي	İmadüddin el-Hüseyn b. Ali el-Lamişi
عماد الدين عمر الزرنجري	İmadüddin Ömer ez-Zerenceri
عمر بن محمد النسفي	Ömer b. Muhammed en-Nesefi
عمه الصدر الشهيد عمر	amcası es-Sadrü'ş-Şehid Ömer
عمه زين الدين محمد بن أبي بكر	amcası Zeynüddin Muhammed b. Ebi Bekir
عمه صدر الإسلام أبو اليسر البزدوي	amcası Sadrülislam Ebu'l-Yüsr el-Pezdevi
عمه محمد المايمرغي	amcası Muhammed el-Maymergi
عمه مسعود بن الحسين الكشاني	amcası Mes'ud b. el-Hüseyn el-Keşani
غياث الدين باشا جلبي	Gıyaseddin Paşa Çelebi
فخر الإسلام علي البزدوي	Fahrülislam Ali el-Pezdevi
فخر الدين أحمد بن علي ابن الفصيح	Fahreddin Ahmed b. Ali İbnü'l-Fasih
فخر الدين البديع القزويني	Fahreddin el-Bedi' el-Kazvini
فخر الدين بديع القزويني	Fahreddin Bedi' el-Kazvini
فخر الدين بديع بن منصور القزبني	Fahreddin Bedi' b. Mansur el-Kazvini
فخر الدين عثمان المارديني	Fahreddin Osman el-Mardini
فخر الدين عثمان بن مصطفى المارديني	Fahreddin Osman b. Mustafa el-Mardini
فخر الدين محمد بن محمد المايمرغي	Fahreddin Muhammed b. Muhammed el-Maymergi
فخر القضاة محمد بن الحسين الأرسابندي	Fahrülkudat Muhammed b. el-Hüseyn el-Ersabendi
فضل الله صاحب الفتاوى الصوفية	Fazlullah, el-Fetava's-Sufiyye müellifi
قاسم بن قطلوبغا	Kasım b. Kutluboğa
قاضي القضاة أبو عبد الله محمد بن علي الدامغاني	Kadılkudat Ebu Abdullah Muhammed b. Ali ed-Damegani
قاضي القضاة أحمد السروجي	Kadılkudat Ahmed es-Serüci
قاضي القضاة علي بن أحمد الطرسوسي	Kadılkudat Ali b. Ahmed et-Tarsusi
قاضي القضاة محمد بن محمد بن الشحنة	Kadılkudat Muhammed b. Muhammed İbnü'ş-Şıhne
قاضي زاده قاسم	Kadızade Kasım
قاضي زاده موسى الرومي	Kadızade Musa er-Rumi
قاضيخان	Kadıhan
قاضيخان الحسن بن منصور	Kadıhan el-Hasan b. Mansur
قطب الدين المرزيفوني	Kutbüddin el-Merzifoni
قطب الدين محمد الرازي	Kutbüddin Muhammed er-Razi
قطب الدين محمد بن قاضي زاده	Kutbüddin Muhammed b. Kadızade
قوام الدين أحمد بن عبد الرشيد	Kıvamüddin Ahmed b. Abdürreşid
قوام الدين محمد الكاكي	Kıvamüddin Muhammed el-Kaki
كمال الدين قره كمال	Kemaleddin Karakemal
مؤيد زاده	Müeyyedzade
مالك	Malik
مالك بن أنس	Malik b. Enes
مبارك شاه المنطقي	Mübarekşah el-Mantıki
مجد الأئمة السرخكي	Mecdüleimme es-Serahki
مجد الأئمة محمد بن عبد الله السرخكتي	Mecdüleimme Muhammed b. Abdullah es-Serahketi
مجد الدين محمد بن محمود الأستروشني	Mecdüddin Muhammed b. Mahmud el-Üsruşeni
محمد المايمرغي	Muhammed el-Maymergi
محمد بن أبي سهل السرخسي	Muhammed b. Ebi Sehl es-Serahsi
محمد بن أدمغان	Muhammed b. Edmegan
محمد بن أدمغان (المولى يكان)	Muhammed b. Edmegan (Molla Yegan)
محمد بن أسلم	Muhammed b. Eslem
محمد بن إبراهيم النكساري	Muhammed b. İbrahim en-Niksari
محمد بن الحسن	Muhammed b. el-Hasan
محمد بن الفضل	Muhammed b. el-Fadl
محمد بن الفضل البلخي	Muhammed b. el-Fadl el-Belhi
محمد بن النضر	Muhammed b. en-Nadr
محمد بن حسن السامسوني	Muhammed b. Hasan es-Samsuni
محمد بن سلمة	Muhammed b. Seleme
محمد بن عبد الخلاطي	Muhammed b. Abd el-Hilati
محمد بن عبد الستار الكردري	Muhammed b. Abdüssettar el-Kerderi
محمد بن عصام	Muhammed b. İsam
محمد بن عمر النوحاباذي	Muhammed b. Ömer en-Nuhabazi
محمد بن محمد ابن الشحنة	Muhammed b. Muhammed İbnü'ş-Şıhne
محمد بن نصر المروزي	Muhammed b. Nasr el-Mervezi
محمد بن يحيى الذهلي	Muhammed b. Yahya ez-Zühli
محمد بن يزيد السلمي	Muhammed b. Yezid es-Sülemi
محمد بن يوسف العقيلي	Muhammed b. Yusuf el-Ukayli
محمد بن يوسف العلوي الحسيني	Muhammed b. Yusuf el-Alevi el-Hüseyni
محمد شاه جلبي	Muhammed Şah Çelebi
محمود بن عبد العزيز الأوزجندي	Mahmud b. Abdülaziz el-Özcendi
محمود بن محمد بن قاضي زاده	Mahmud b. Muhammed b. Kadızade
محمود صاحب الحقائق	Mahmud, el-Hakaik müellifi
محيي الدين الكفوي	Muhyiddin el-Kefevi
محيي الدين جلبي	Muhyiddin Çelebi
مختار الزاهدي	Muhtar ez-Zahidi
مختار الزاهدي صاحب القنية	Muhtar ez-Zahidi, el-Kunye müellifi
مختار بن محمود الزاهدي صاحب القنية	Muhtar b. Mahmud ez-Zahidi, el-Kunye müellifi
مسعر	Mis'ar
مسلم	Müslim
مصطفى بن خليل والد صاحب الشقائق	Mustafa b. Halil, eş-Şakaik müellifinin babası
مصلح الدين القسطلاني	Muslihuddin el-Kastallani
مصلح الدين القوجوي	Muslihuddin el-Kocevi
مظفر الدين أحمد ابن الساعاتي	Muzafferüddin Ahmed İbnü's-Saati
معلى بن منصور	Mualla b. Mansur
ملا خسرو	Molla Hüsrev
ملا طوسي	Molla Tusi
ملا فخر الدين	Molla Fahreddin
مير صدر الدين الشيرازي	Mir Sadreddin eş-Şirazi
ناصر الدين المطرزي	Nasıreddin el-Mutarrizi
ناصر الدين المطرزي صاحب المغرب	Nasıreddin el-Mutarrizi, el-Mugrib müellifi
ناصر الدين محمد	Nasıreddin Muhammed
ناصر الدين محمد بن شهاب	Nasıreddin Muhammed b. Şihab
نجم الدين الحكيمي	Necmeddin el-Hakimi
نجم الدين الملطي	Necmeddin el-Malati
نجم الدين طاهر بن محمد الحفصي	Necmeddin Tahir b. Muhammed el-Hafsi
نجم الدين عمر الكاخشتواني	Necmeddin Ömer el-Kahuştuvani
نجم الدين محمد بن أبي الثناء البغدادي	Necmeddin Muhammed b. Ebi's-Sena el-Bağdadi
نجم الدين مختار الزاهدي	Necmeddin Muhtar ez-Zahidi
نجم الدين يوسف الخاصي	Necmeddin Yusuf el-Hassi
نجم المشايخ علي بن محمد العمراني	Necmülmeşayih Ali b. Muhammed el-Umrani
نصر بن أحمد بن إسماعيل الكيسان	Nasr b. Ahmed b. İsmail el-Keysan
نصير بن يحيى	Nusayr b. Yahya
نظام الدين أحمد بن محمود الحصيري	Nizameddin Ahmed b. Mahmud el-Hasiri
نور الدين القره صوي	Nureddin el-Karasuvi
هبة الله التركستاني	Hibetullah et-Türkistani
هبة الله بن أحمد التركستاني	Hibetullah b. Ahmed et-Türkistani
هشام بن حسان	Hişam b. Hassan
هشام بن عروة	Hişam b. Urve
هلال بن يحيى البصري	Hilal b. Yahya el-Basri
والده إسماعيل الصفار	babası İsmail es-Saffar
والده حسام الدين الرازي	babası Hüsameddin er-Razi
والده عبد الرحمن بن إسحاق	babası Abdurrahman b. İshak
والده عبد الله بن الفضل	babası Abdullah b. el-Fadl
وجيه الدين الدهلوي	Vecihüddin ed-Dehlevi
وكيع	Veki'
ولده أحمد	oğlu Ahmed
ولده أحمد بن عثمان	oğlu Ahmed b. Osman
ولده إسماعيل	oğlu İsmail
ولده بدر الدين يوسف	oğlu Bedreddin Yusuf
ولده حسن باشا	oğlu Hasan Paşa
ولده علي بن عثمان	oğlu Ali b. Osman
ولده نجم الدين إبراهيم	oğlu Necmeddin İbrahim
ولي الدين العراقي	Veliyyüddin el-Iraki
يحيى السيرامي	Yahya es-Sirami
يحيى بن معين	Yahya b. Main
يوسف القراصوي	Yusuf el-Karasuvi
يوسف الكرماستي	Yusuf el-Kirmasti
يوسف بن أحمد ابن النحاس الحلبي	Yusuf b. Ahmed İbnü'n-Nehhas el-Halebi
يوسف بن المخيلي	Yusuf b. el-Muhayli
يوسف بن جنيد	Yusuf b. Cüneyd
يوسف بن شمس الدين الفناري	Yusuf b. Şemseddin el-Fenari
يوسف بن عمر الصوفي صاحب جامع المضمرات	Yusuf b. Ömer es-Sufi, Camiu'l-Muzmerat müellifi
يوسف بن عمر صاحب جامع المضمرات	Yusuf b. Ömer, Camiu'l-Muzmerat müellifi
يوسف بن محمد الخوارزمي	Yusuf b. Muhammed el-Harezmi
يونس بن عبد الأعلى	Yunus b. Abdüla'la
