# Arapça	Türkçe okunuş (hoca ve talebe adları; fakihlerin kendi sayfası olanlar orada yazıldığı gibi alınır)
أبو عبيد القاسم بن سلام	Ebu Ubeyd el-Kasım b. Sellam
أبو عصمة نوح الجامع	Ebu İsme Nuh el-Cami'
أبو علي زاهر بن أحمد السرخسي	Ebu Ali Zahir b. Ahmed es-Serahsi
أبو علي محمد بن أحمد بن الوليد	Ebu Ali Muhammed b. Ahmed b. el-Velid
أبو عمرو عثمان بن علي البيكندي	Ebu Amr Osman b. Ali el-Beykendi
أبو كريب	Ebu Kureyb
أبو محمد عبد الله الناصحي	Ebu Muhammed Abdullah en-Nasıhi
أبو منصور موهوب	Ebu Mansur Mevhub
أبو نصر أحمد بن عبد الله الخيزاخزي	Ebu Nasr Ahmed b. Abdullah el-Hayzahazi
أبو نصر أحمد بن علي الحازمي	Ebu Nasr Ahmed b. Ali el-Hazimi
أبو نصر محمد بن سهل	Ebu Nasr Muhammed b. Sehl
أبو نعيم الأصبهاني	Ebu Nuaym el-İsfahani
أبو نعيم الفضل بن دكين	Ebu Nuaym el-Fadl b. Dükeyn
أبو نعيم عبد الملك بن محمد بن عدي	Ebu Nuaym Abdülmelik b. Muhammed b. Adi
أبو يعقوب يوسف السكاكي	Ebu Ya'kub Yusuf es-Sekkaki
أبو يعقوب يوسف السياري	Ebu Ya'kub Yusuf es-Seyyari
أبو يعقوب يوسف بن منصور السياري	Ebu Ya'kub Yusuf b. Mansur es-Seyyari
أبو يوسف	Ebu Yusuf
أبوه أبو الثناء محمود	babası Ebu's-Sena Mahmud
أبوه أبو العباس أحمد	babası Ebu'l-Abbas Ahmed
أبوه أبو الغنائم شجاع	babası Ebu'l-Ganaim Şuca'
أبوه أبو المعين محمد المكحولي	babası Ebu'l-Muin Muhammed el-Mekhuli
أبوه أبو الوضاح محمد	babası Ebu'l-Vaddah Muhammed
أبوه أبو اليسر البزدوي	babası Ebu'l-Yüsr el-Pezdevi
أبوه أبو بكر محمد بن موسى الخوارزمي	babası Ebu Bekir Muhammed b. Musa el-Harezmi
أبوه أبو حنيفة	babası Ebu Hanife
أبوه أبو محمد عبد الله الناصحي	babası Ebu Muhammed Abdullah en-Nasıhi
أبوه أبو نصر أحمد العياضي	babası Ebu Nasr Ahmed el-Iyazi
أبوه أحمد بن إسحاق الصفار	babası Ahmed b. İshak es-Saffar
أبوه أحمد بن عمر	babası Ahmed b. Ömer
أبوه أفضل الدين	babası Efdalüddin
أبوه إبراهيم بن إسماعيل الصفار	babası İbrahim b. İsmail es-Saffar
أبوه إسماعيل بن عبد الصادق	babası İsmail b. Abdüssadık
أبوه إسماعيل بن عثمان	babası İsmail b. Osman
أبوه البدر الأبيض يوسف	babası el-Bedr el-Ebyaz Yusuf
أبوه الحسين	babası el-Hüseyn
أبوه الحسين بن محمد البارعي	babası el-Hüseyn b. Muhammed el-Barii
أبوه الصدر السعيد أحمد	babası es-Sadrü's-Said Ahmed
أبوه الصدر الشهيد عمر	babası es-Sadrü'ş-Şehid Ömer
